Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Wild & Scenic River,Niobrara NSR,"60,812",0,"465,174",0,0,0,0,0,0,0,0,National Wild & Scenic River Total,"1,303,175","336,778","8,244,701","27,346",0,0,"8,686",0,"70,306",0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Wild & Scenic River,Obed W&SR,"221,301","10,800","944,617",900,0,0,"8,686",0,300,0,0,National Wild & Scenic River Total,"1,303,175","336,778","8,244,701","27,346",0,0,"8,686",0,"70,306",0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Wild & Scenic River,Rio Grande W&SR,324,0,"38,376",0,0,0,0,0,"1,842",0,0,National Wild & Scenic River Total,"1,303,175","336,778","8,244,701","27,346",0,0,"8,686",0,"70,306",0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Wild & Scenic River,Saint Croix NSR,"638,258",0,"5,769,811",0,0,0,0,0,"68,164",0,0,National Wild & Scenic River Total,"1,303,175","336,778","8,244,701","27,346",0,0,"8,686",0,"70,306",0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Wild & Scenic River,Upper Delaware S&RR,"215,537","325,978","803,283","26,446",0,0,0,0,0,0,0,National Wild & Scenic River Total,"1,303,175","336,778","8,244,701","27,346",0,0,"8,686",0,"70,306",0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Catoctin Mountain Park,"296,846","192,220","1,271,320","22,683",0,0,"3,845",580,631,0,"20,385",Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Fort Washington Park,"423,868",0,"1,675,155",0,0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Greenbelt Park,"128,702",0,"519,446",0,0,0,"5,938","5,928",0,0,393,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),National Capital Parks Central,"1,770,794",0,"1,119,241",0,0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),National Capital Parks East,"1,210,641","32,224,489","2,046,732","21,155,772",0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Piscataway Park,"329,729",0,"627,666",0,0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),President's Park,"715,911",0,"891,226",0,0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Prince William Forest Park,"339,693",480,"3,242,412",960,0,"30,151","21,599","1,551",305,0,"50,987",Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Rock Creek Park,"2,416,232","12,386,843","2,603,257","6,193,419",0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),White House,"454,117",0,"307,266",0,0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
Park (Other),Wolf Trap NP for the Performing Arts,"402,580",0,"1,610,320",0,0,0,0,0,0,0,0,Park (Other) Total,"8,489,113","44,804,032","15,914,041","27,372,834",0,"30,151","31,382","8,059",936,0,"71,765","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"

